Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
27.93,7230.0,barber or beauty shops,www.brightonbeautysupp,[],brighton beauty supply,"['beauty supply store in brooklyn, new york']",ny,Retail Trade
133.0,4225.0,public warehousing-farm prod refridgerat,price self storage mb,"['albuquerque stclosed ⋅ opens fri', 'near san diego', 'morena blvdclosed ⋅ opens fri', 'murphy canyon rdclosed ⋅ opens fri']",price self storage,"['near san diego, ca', 'albuquerque stclosed ⋅ opens fri', 'morena blvdclosed ⋅ opens fri', 'murphy canyon rdclosed ⋅ opens fri']",san diego ca,"Trade, Professional and Personal Services"
25.8,nan,nan,real new orleans r,['cajun restaurant'],the real new orleans style restaurant,['cajun restaurant'],marble falls tx,Entertainment
48.15,nan,nan,szeto handbags and,['view all'],szeto handbags,['view all'],miami fl,Retail Trade
16.53,8398.0,charitable or social services organizations,unhcr,['corporate office'],bangkok thyme,['thai restaurant'],bangkok th,Entertainment
1292.53,nan,nan,salesforce.com ser,[],salesforce,[],ca,"Trade, Professional and Personal Services"
505.48,1799.0,special trade contractors,space solutions,"['contractor in phoenix, arizona']",space solutions,"['contractor in phoenix, arizona']",az,Retail Trade
37.42,5499.0,misc food stores - specialty markets & convenience,firecracker joes,"['fireworks store in shawnee, oklahoma']",firecracker joe wholesale,"['fireworks store in shawnee, oklahoma']",shawnee ok,Retail Trade
50.0,7922.0,theatrical producers (excl motion pictures) ticket agencies,bandtastic,[],bandtastic,[],nc,Entertainment
21.23,5814.0,fast food restaurants,pita pit la mesa,['sandwich shop'],pita pit,['sandwich shop'],san diego ca,Entertainment
70.0,8021.0,dentists or orthodontists,magic smiles dental ca,"['dentist · e thomas rd ⋅ opens fri', 'dentist · w thomas rd ⋅ opens fri', 'near phoenix, az']",magic smiles dental,"['dentist in phoenix, arizona']",phoenix az,Health and Community Services
15.0,5964.0,catalog merchant,ntl registry of emts,[],national registry of emergency medical technicians,[],oh,Property and Business Services
221.04,5812.0,restaurants or eating places,the sardine factor,['seafood restaurant'],the sardine factory,['seafood restaurant'],monterey ca,Entertainment
23.9,5812.0,restaurants or eating places,burger cache,['family restaurant'],burger,"['· $hamburger · e northern lights blvd', '· $$hamburger · mountain view dr ⋅ opens fri', 'near max burger, e northern lights blvd, anchorage, ak', '· $family-friendly · e northern lights blvd']",anchorage ak,Entertainment
525.0,nan,nan,lisa pennington &,"['psychologist in charlotte, north carolina']",lisa pennington and associates,"['psychologist in charlotte, north carolina']",charlotte nc,Health and Community Services
206.78,5691.0,men's and women's clothing stores,cinch factory store,"['western apparel store in federal heights, colorado']",cinch factory,"['western apparel store in federal heights, colorado']",denver co,Retail Trade
