settings,max acc,epoch accs
"--model bert --lr 0.0001 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.866,"[0.865, 0.858]"
"--model bert --use_amounts --lr 0.0005 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.358,"[0.338, 0.34]"
"--model bert --use_amounts --lr 0.0005 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.354,"[0.334, 0.349]"
"--model bert --lr 5e-05 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.869,"[0.865, 0.869]"
"--model bert --lr 5e-05 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.865,"[0.856, 0.865]"
"--model bert --lr 0.0001 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.856,"[0.849, 0.853]"
"--model bert --lr 0.0005 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.337, 0.337]"
"--model bert --lr 0.0005 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.337, 0.337]"
"--model bert --lr 0.0005 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.337, 0.276]"
"--model bert --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.865,"[0.865, 0.863]"
"--model bert --lr 0.0001 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.854,"[0.853, 0.852]"
"--model bert --use_amounts --lr 0.0005 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.359,"[0.342, 0.348]"
"--model bert --use_amounts --lr 0.0001 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.86,"[0.857, 0.337]"
"--model bert --use_amounts --lr 0.0001 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.863,"[0.861, 0.861]"
"--model bert --use_amounts --lr 0.0001 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.863,"[0.858, 0.847]"
"--model bert --use_amounts --lr 5e-05 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.867,"[0.855, 0.867]"
"--model bert --use_amounts --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.871,"[0.865, 0.869]"
"--model bert --use_amounts --lr 5e-05 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.864,"[0.854, 0.851]"
"--model xlnet --lr 5e-05 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.86,"[0.854, 0.86]"
"--model xlnet --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.859,"[0.845, 0.857]"
"--model xlnet --lr 5e-05 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.852,"[0.844, 0.848]"
"--model xlnet --use_amounts --lr 0.0005 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.427,"[0.349, 0.299]"
"--model xlnet --use_amounts --lr 0.0005 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.356,"[0.346, 0.352]"
"--model xlnet --use_amounts --lr 0.0001 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.855,"[0.838, 0.851]"
"--model xlnet --lr 0.0005 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.337, 0.276]"
"--model xlnet --lr 0.0001 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.844,"[0.831, 0.839]"
"--model xlnet --use_amounts --lr 0.0005 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.36,"[0.346, 0.351]"
"--model xlnet --lr 0.0005 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.276, 0.337]"
"--model xlnet --lr 0.0001 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.851,"[0.851, 0.846]"
"--model xlnet --lr 0.0001 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.858,"[0.853, 0.855]"
"--model xlnet --use_amounts --lr 0.0001 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.853,"[0.848, 0.84]"
"--model xlnet --lr 0.0005 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.337,"[0.337, 0.337]"
"--model xlnet --use_amounts --lr 5e-05 --T_0 0.5 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.864,"[0.849, 0.864]"
"--model xlnet --use_amounts --lr 5e-05 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.867,"[0.854, 0.867]"
"--model xlnet --use_amounts --lr 0.0001 --T_0 1 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.855,"[0.852, 0.855]"
"--model xlnet --use_amounts --lr 5e-05 --T_0 2 --val_size 0.025 --save_file results/metrics/1657014764.2690108.csv",0.856,"[0.856, 0.856]"
