settings,max_acc,human_acc,epoch_accs,checkpoint_accs
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-2--lr-2e-05--seed-1,"(0.869, 0.821537336899994)","(0.925, 0.7341996005338646)","[(0.852, 0.7724270949790083), (0.864, 0.8208968182884376)]","[(0.789, 0.47575879653491987), (0.816, 0.5887137598747769), (0.821, 0.695481608271509), (0.823, 0.7082917926345923), (0.836, 0.7483653220252424), (0.853, 0.7833288068465771), (0.851, 0.7790206486728541), (0.854, 0.7996427585416414), (0.856, 0.7856102233638441), (0.855, 0.799692039368378), (0.852, 0.7724270949790083), (0.868, 0.8259223426974007), (0.855, 0.7975084090126947), (0.858, 0.8084828207980582), (0.863, 0.8229823954504207), (0.869, 0.821537336899994), (0.867, 0.819488809191627), (0.867, 0.8133944521670212), (0.864, 0.8138766162682357), (0.866, 0.8220632547050364), (0.864, 0.8208968182884376), (0.864, 0.8208968182884376)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-1--lr-2e-05--seed-3,"(0.876, 0.7467156882939036)","(0.925, 0.8418408177049098)","[(0.868, 0.7276536519965032), (0.876, 0.7479325918420479)]","[(0.78, 0.4147277072984637), (0.828, 0.6574772140814148), (0.832, 0.6039619016788338), (0.846, 0.6702021357133974), (0.857, 0.705255057919925), (0.853, 0.7144184029447188), (0.87, 0.7295738257243961), (0.865, 0.7195694270488407), (0.866, 0.7222394154152304), (0.868, 0.7276536519965032), (0.868, 0.7276536519965032), (0.851, 0.7027160006176127), (0.854, 0.7259125133758624), (0.862, 0.7223330091596261), (0.86, 0.7224082519387205), (0.861, 0.715096106990169), (0.87, 0.7358152812056572), (0.874, 0.7471815264089006), (0.872, 0.7448485067244672), (0.876, 0.7467156882939036), (0.876, 0.7479325918420479), (0.876, 0.7479325918420479)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-2--lr-2e-05--seed-2,"(0.886, 0.812105231450295)","(0.905, 0.8356270036692063)","[(0.873, 0.807223191514888), (0.883, 0.8108203427395457)]","[(0.815, 0.587796854243295), (0.838, 0.6639191070801451), (0.834, 0.6599077665593234), (0.855, 0.7653382929459828), (0.861, 0.7815280114140865), (0.862, 0.8022710071779707), (0.86, 0.7942521694229725), (0.872, 0.8061103340032222), (0.877, 0.8025704467915545), (0.875, 0.8116408803876258), (0.873, 0.807223191514888), (0.872, 0.8031263966613011), (0.881, 0.8087037454789463), (0.877, 0.7947274101519882), (0.875, 0.8043194765438477), (0.886, 0.812105231450295), (0.883, 0.8118637435136126), (0.88, 0.8078385162001261), (0.882, 0.8105605379902954), (0.882, 0.8103597286263055), (0.883, 0.8108203427395457), (0.883, 0.8108203427395457)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-2--lr-2e-05--seed-3,"(0.873, 0.7305526337993)","(0.925, 0.7446319894921678)","[(0.861, 0.7295785023884532), (0.87, 0.7348815842843862)]","[(0.787, 0.42986246339234935), (0.829, 0.6561939600283786), (0.83, 0.5993464473859931), (0.842, 0.6795187305867795), (0.845, 0.6952292716439652), (0.847, 0.7237964676418658), (0.865, 0.7284233465506011), (0.867, 0.7318891627759406), (0.864, 0.7197672201821835), (0.858, 0.7237069410696104), (0.861, 0.7295785023884532), (0.858, 0.7167725709493558), (0.86, 0.7221573280913016), (0.861, 0.7282771606450593), (0.868, 0.7292797701894197), (0.873, 0.7305526337993), (0.873, 0.743796411993473), (0.871, 0.7425891862826326), (0.871, 0.7367927105667235), (0.868, 0.7281046370710395), (0.87, 0.7348815842843862), (0.87, 0.7348815842843862)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-0.5--lr-2e-05--seed-2,"(0.886, 0.819292943153765)","(0.925, 0.8407122674579346)","[(0.871, 0.807643710880461), (0.881, 0.8166273468106393)]","[(0.817, 0.58489270956532), (0.838, 0.6631945603377334), (0.847, 0.6839760886226236), (0.855, 0.6993174141796459), (0.854, 0.6985642502079534), (0.859, 0.7778636060911583), (0.848, 0.7807389266404542), (0.871, 0.8012021363844797), (0.876, 0.8034695023794317), (0.871, 0.807643710880461), (0.871, 0.807643710880461), (0.857, 0.7900086560872251), (0.872, 0.7968898922305302), (0.87, 0.7975500961351811), (0.881, 0.8120893786364167), (0.886, 0.819292943153765), (0.866, 0.803913231511846), (0.874, 0.7981522463349308), (0.876, 0.802731733939628), (0.874, 0.8066187313549417), (0.881, 0.8166273468106393), (0.881, 0.8166273468106393)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-0.5--lr-2e-05--seed-1,"(0.875, 0.814182142885735)","(0.92, 0.7420228384173668)","[(0.852, 0.7937400544574165), (0.874, 0.8056076084102332)]","[(0.787, 0.4762528121128574), (0.813, 0.5710624204621644), (0.824, 0.6506354668560629), (0.829, 0.7322780967932496), (0.831, 0.7437030945159078), (0.845, 0.7689983229176744), (0.851, 0.7650591263504829), (0.848, 0.7618738028661536), (0.847, 0.773342654808474), (0.852, 0.7937400544574165), (0.852, 0.7937400544574165), (0.856, 0.7962718094739304), (0.85, 0.7901772051811728), (0.857, 0.7913851283966168), (0.854, 0.7964059152839139), (0.863, 0.7966573319238127), (0.856, 0.8070645604360223), (0.862, 0.7936604529443319), (0.863, 0.8164210478156877), (0.875, 0.814182142885735), (0.874, 0.8056076084102332), (0.874, 0.8056076084102332)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-0.5--lr-2e-05--seed-3,"(0.875, 0.7354797291827242)","(0.92, 0.845349495620648)","[(0.865, 0.720146955549387), (0.869, 0.7451053082318765)]","[(0.79, 0.4301468628807056), (0.832, 0.6420204090126328), (0.847, 0.6205418332086444), (0.848, 0.66821636062423), (0.85, 0.6674407560149047), (0.837, 0.696821573633608), (0.85, 0.7071999078077378), (0.859, 0.7245987918779299), (0.859, 0.7080517195001054), (0.865, 0.720146955549387), (0.865, 0.720146955549387), (0.855, 0.7242924929468304), (0.856, 0.7362688151273992), (0.864, 0.7292135467434081), (0.875, 0.7354797291827242), (0.869, 0.7307364007671521), (0.857, 0.7261378931872478), (0.858, 0.7342704081358272), (0.871, 0.7489950699230649), (0.872, 0.7505767154255911), (0.869, 0.7451053082318765), (0.869, 0.7451053082318765)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-1--lr-2e-05--seed-2,"(0.885, 0.8112055686342996)","(0.92, 0.8422530721252655)","[(0.871, 0.8132055094268706), (0.884, 0.8047874841158371)]","[(0.815, 0.5812277979880731), (0.836, 0.6645623071569375), (0.844, 0.648015393442255), (0.855, 0.7616876808823079), (0.861, 0.7879458790542433), (0.858, 0.7981038001916034), (0.87, 0.8074510909121677), (0.866, 0.8090285697739115), (0.874, 0.812375304302409), (0.871, 0.8132055094268706), (0.871, 0.8132055094268706), (0.858, 0.7824262847829322), (0.859, 0.7098331167653306), (0.862, 0.7198477850656768), (0.872, 0.8041113674601522), (0.874, 0.807948008098213), (0.875, 0.8098653734599376), (0.879, 0.7991566840482953), (0.885, 0.8112055686342996), (0.884, 0.8047846454772675), (0.884, 0.8047874841158371), (0.884, 0.8047874841158371)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657434843.841138.csv--T_0-1--lr-2e-05--seed-1,"(0.871, 0.8134005322392633)","(0.925, 0.723996708703263)","[(0.853, 0.7607404468362889), (0.871, 0.8134005322392633)]","[(0.781, 0.47470038792354374), (0.813, 0.591786550591595), (0.816, 0.7089849028487277), (0.835, 0.7369624432003417), (0.839, 0.747557906589189), (0.851, 0.7667858344679421), (0.854, 0.7600821128864349), (0.852, 0.7574390467586173), (0.852, 0.760694432607079), (0.853, 0.7607404468362889), (0.853, 0.7607404468362889), (0.85, 0.7083556740881038), (0.856, 0.7793536448628389), (0.851, 0.7648774806952123), (0.856, 0.7883559491468977), (0.866, 0.8026365870677553), (0.857, 0.8031072998266444), (0.866, 0.8121089525452672), (0.864, 0.798484034474521), (0.87, 0.8141053457551258), (0.871, 0.8134005322392633), (0.871, 0.8134005322392633)]"
-model-bert--input_max_length-50--use_amounts--val_size-0.025--save_file-1657435166.8620923.csv--lr-2e-05--fixed_lr--seed-2,"(0.881, 0.7975837343397585)","(0.92, 0.847836285463871)","[(0.862, 0.7939265423011952), (0.879, 0.7820182488331346)]","[(0.817, 0.5926263969241716), (0.837, 0.6700655162727063), (0.841, 0.6793472260435705), (0.857, 0.7718103887196726), (0.86, 0.7895227791192342), (0.861, 0.8032692034390563), (0.857, 0.782193559376661), (0.872, 0.7917113492877238), (0.878, 0.8090264932953131), (0.866, 0.7888907238703109), (0.862, 0.7939265423011952), (0.873, 0.8053761252130366), (0.863, 0.7863571803911429), (0.871, 0.784604784371843), (0.86, 0.7832297612572063), (0.873, 0.7373636792773619), (0.864, 0.7997470320502409), (0.881, 0.7975837343397585), (0.871, 0.8069579418755121), (0.878, 0.8011932576445693), (0.879, 0.7879232150818569), (0.879, 0.7820182488331346)]"
