settings,max_acc,human_acc,epoch_accs,checkpoint_accs
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-1--lr-2e-05--seed-2,"(0.879, 0.7931235535457863)","(0.925, 0.8294018933149451)","[(0.879, 0.7931235535457863), (0.877, 0.8040226376284032)]","[(0.813, 0.5872230005344349), (0.842, 0.7321551974839109), (0.844, 0.731137117771089), (0.855, 0.7399825341916471), (0.858, 0.7511752809428797), (0.864, 0.76883762667782), (0.856, 0.7788458955157352), (0.878, 0.7927117454038052), (0.879, 0.7931235535457863), (0.879, 0.7931235535457863), (0.879, 0.7931235535457863), (0.856, 0.700473554861202), (0.87, 0.787822246745914), (0.863, 0.7141103413912198), (0.864, 0.7920493380706879), (0.875, 0.7891235407923505), (0.876, 0.7275226712528886), (0.878, 0.7980662840920812), (0.879, 0.8034554218207399), (0.878, 0.8038361732982585), (0.877, 0.8040226376284032), (0.877, 0.8040226376284032)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-1--lr-2e-05--seed-1,"(0.857, 0.7735047843764502)","(0.915, 0.7370916920916921)","[(0.856, 0.7621308059693215), (0.857, 0.7735047843764502)]","[(0.801, 0.6216616356154153), (0.813, 0.6760836021127351), (0.826, 0.7011067959790218), (0.836, 0.7457529510185628), (0.836, 0.742819925088319), (0.842, 0.7454392039849341), (0.849, 0.7723240675670432), (0.85, 0.759080434379937), (0.851, 0.7558970263772217), (0.856, 0.7621308059693215), (0.856, 0.7621308059693215), (0.815, 0.7220171831311137), (0.839, 0.745641077734673), (0.832, 0.7723968308184993), (0.848, 0.7738870255401644), (0.843, 0.7482284361218572), (0.85, 0.7619383370259338), (0.851, 0.7901171038464716), (0.853, 0.7684591320471093), (0.857, 0.7735047843764502), (0.857, 0.7735047843764502), (0.857, 0.7735047843764502)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-1--lr-2e-05--seed-3,"(0.866, 0.7226544889005333)","(0.915, 0.73180421965591)","[(0.85, 0.7051564034577992), (0.864, 0.7207825316253883)]","[(0.813, 0.5955133125578651), (0.81, 0.6319093074188007), (0.835, 0.6707352867646897), (0.832, 0.6859928029757985), (0.833, 0.694822914747007), (0.852, 0.6988849873974794), (0.852, 0.6939357041276751), (0.846, 0.7059349419287341), (0.846, 0.697155407167396), (0.85, 0.7051564034577992), (0.85, 0.7051564034577992), (0.824, 0.6070706306945847), (0.85, 0.7084322305603588), (0.842, 0.7008933962317283), (0.851, 0.7052399062586738), (0.855, 0.722489525894116), (0.85, 0.7109470463601844), (0.861, 0.7198015963695632), (0.866, 0.7226544889005333), (0.866, 0.7255923241752888), (0.864, 0.7207825316253883), (0.864, 0.7207825316253883)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-2--lr-2e-05--seed-3,"(0.87, 0.7348477544439734)","(0.925, 0.7325226698972601)","[(0.859, 0.7179830367170733), (0.864, 0.723474816492462)]","[(0.81, 0.5911347776249305), (0.813, 0.6704089515464254), (0.841, 0.6797086085210904), (0.839, 0.679757194352724), (0.837, 0.6847129659265325), (0.845, 0.6974068054729206), (0.855, 0.707551940395024), (0.857, 0.7090375506442167), (0.856, 0.7086479962884378), (0.858, 0.725044863869589), (0.859, 0.7179830367170733), (0.856, 0.7229833889829699), (0.87, 0.7348477544439734), (0.863, 0.7274217724261711), (0.866, 0.7254536294747266), (0.866, 0.7275419113356384), (0.86, 0.7187879625717788), (0.864, 0.7219366362151997), (0.862, 0.7223602000685007), (0.863, 0.7229226052047066), (0.864, 0.723474816492462), (0.864, 0.723474816492462)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-2--lr-2e-05--seed-2,"(0.883, 0.8015659094665913)","(0.925, 0.8370521267117011)","[(0.864, 0.7762625366284708), (0.879, 0.8014860520793246)]","[(0.818, 0.6176684291949197), (0.833, 0.728459346602611), (0.835, 0.7259936706212061), (0.84, 0.7334569916900306), (0.845, 0.6812543139600002), (0.853, 0.7534825986613971), (0.849, 0.7011137234541641), (0.865, 0.7862010020958478), (0.849, 0.7864791433114586), (0.871, 0.787036985840625), (0.864, 0.7762625366284708), (0.864, 0.7732311337720439), (0.867, 0.7861732452023679), (0.87, 0.7232080737024005), (0.874, 0.8054044058392081), (0.878, 0.8051281159732732), (0.878, 0.8035250348907219), (0.883, 0.8015659094665913), (0.883, 0.7982348883135375), (0.881, 0.802070291297645), (0.879, 0.8014860520793246), (0.879, 0.8014860520793246)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-2--lr-2e-05--seed-1,"(0.858, 0.7727392553548279)","(0.92, 0.734267204984975)","[(0.846, 0.7448839595020101), (0.857, 0.7768191938338321)]","[(0.801, 0.6220830258405549), (0.812, 0.6793405254854095), (0.827, 0.6932842997531442), (0.835, 0.7503159035888584), (0.836, 0.7394572199953868), (0.838, 0.7312704418499536), (0.836, 0.7455297247053951), (0.846, 0.7552790679704415), (0.842, 0.7488411275493709), (0.847, 0.7403310040413905), (0.846, 0.7448839595020101), (0.844, 0.7351683695206273), (0.851, 0.7760817351204123), (0.856, 0.7823137679246497), (0.851, 0.7749851363962605), (0.851, 0.7666371644150158), (0.855, 0.7719414894444717), (0.852, 0.7737804826594115), (0.858, 0.7727392553548279), (0.856, 0.776822121122933), (0.857, 0.7768191938338321), (0.857, 0.7768191938338321)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-0.5--lr-2e-05--seed-2,"(0.875, 0.7947047909325586)","(0.92, 0.8372138449840397)","[(0.866, 0.7823163739440414), (0.875, 0.7947047909325586)]","[(0.819, 0.6194177110364121), (0.841, 0.752710132293352), (0.845, 0.7478030234098398), (0.851, 0.7607431215826124), (0.857, 0.7616770101035162), (0.844, 0.749712395978812), (0.839, 0.7416956848671667), (0.867, 0.7671159685257063), (0.857, 0.7611299557883), (0.866, 0.7823163739440414), (0.866, 0.7823163739440414), (0.856, 0.7663176742347302), (0.862, 0.7607242069605847), (0.86, 0.7599202154616529), (0.872, 0.7694629306892468), (0.873, 0.7753192052355397), (0.848, 0.7356795433290166), (0.868, 0.7929870795624299), (0.871, 0.7898908227337804), (0.871, 0.792277142329074), (0.875, 0.7947047909325586), (0.875, 0.7947047909325586)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-0.5--lr-2e-05--seed-1,"(0.86, 0.7722415376977184)","(0.91, 0.7277614859939202)","[(0.847, 0.7500861893108534), (0.858, 0.7729518942242121)]","[(0.799, 0.616880311942221), (0.818, 0.6908239498602866), (0.826, 0.7260250410472168), (0.831, 0.7238090348269572), (0.829, 0.7231418444428058), (0.828, 0.729093265398367), (0.831, 0.7285775304687017), (0.843, 0.7522169503956482), (0.84, 0.74168349048477), (0.847, 0.7500861893108534), (0.847, 0.7500861893108534), (0.798, 0.6997161879719074), (0.852, 0.7750419298139164), (0.847, 0.7813387351709922), (0.852, 0.7874290491937226), (0.854, 0.781846352972767), (0.836, 0.7421378064921988), (0.845, 0.7862198296025966), (0.86, 0.7722415376977184), (0.857, 0.758388025682891), (0.858, 0.7729518942242121), (0.858, 0.7729518942242121)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444551.099346.csv--T_0-0.5--lr-2e-05--seed-3,"(0.87, 0.7308461392304684)","(0.94, 0.8538927080390495)","[(0.86, 0.7173730804320202), (0.866, 0.7330655459262848)]","[(0.804, 0.5867483101376003), (0.825, 0.6602175842763012), (0.831, 0.6665486607284977), (0.837, 0.6778942422727902), (0.837, 0.680479280651614), (0.853, 0.6914724268411799), (0.845, 0.6644578326644215), (0.855, 0.7141445996014386), (0.853, 0.7106842276750929), (0.86, 0.7173730804320202), (0.86, 0.7173730804320202), (0.842, 0.6786216805801555), (0.862, 0.7147392421184733), (0.863, 0.7346118133632666), (0.866, 0.729762140776278), (0.865, 0.7311544032707711), (0.845, 0.7009771995059901), (0.85, 0.7088091926668917), (0.864, 0.7274739877554153), (0.87, 0.7308461392304684), (0.866, 0.7330655459262848), (0.866, 0.7330655459262848)]"
-model-xlnet--input_max_length-50--use_amounts--val_size-0.025--save_file-1657444588.5317357.csv--lr-2e-05--fixed_lr--seed-3,"(0.866, 0.7328760322655082)","(0.925, 0.7292122593718339)","[(0.856, 0.7211064287823719), (0.86, 0.7107225320549824)]","[(0.815, 0.5891880888414474), (0.804, 0.6271447401782579), (0.836, 0.6680232809733319), (0.835, 0.6893890176505085), (0.836, 0.6834038196904071), (0.841, 0.6793449188529095), (0.858, 0.6965657207245526), (0.855, 0.7168314730026073), (0.847, 0.7029757531952834), (0.859, 0.7102826436028307), (0.856, 0.7211064287823719), (0.856, 0.7216349146724346), (0.863, 0.7203162438898069), (0.848, 0.7153741877928295), (0.859, 0.7166707399358649), (0.848, 0.6771478526024564), (0.843, 0.686914467978296), (0.858, 0.7209486800836311), (0.866, 0.7328760322655082), (0.85, 0.7151036020784677), (0.856, 0.7101740909642396), (0.86, 0.7107225320549824)]"
