settings,best point,acc,f1
"--algo nb --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'alpha': 0.9735802071316433, 'fit_prior': False}",0.6972 ± 0.006013318551349169,0.5365837589713003 ± 0.036509229942869176
"--algo nb --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'alpha': 0.26321017318004253, 'fit_prior': True}",0.8257999999999999 ± 0.007222188034107122,0.6762801950532425 ± 0.037131040627137304
"--algo nb --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'alpha': 0.5969832559738848, 'fit_prior': False}",0.8116 ± 0.006019966777316918,0.628903850865186 ± 0.0279433781207707
"--algo knn --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'n_neighbors': 10.0, 'weights': 'distance'}",0.7968000000000001 ± 0.014316424134538638,0.6976249150927123 ± 0.03646341306542189
"--algo knn --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'n_neighbors': 12.0, 'weights': 'distance'}",0.8066000000000001 ± 0.01671645895517346,0.6998146587254885 ± 0.029148056838995164
"--algo knn --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'n_neighbors': 32.0, 'weights': 'distance'}",0.7584000000000001 ± 0.0232688633155984,0.65626132717404 ± 0.031896704368772275
"--algo xgb --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'gamma': 1.5802682007923874, 'max_depth': 9.0, 'min_child_weight': 2.0, 'reg_alpha': 0, 'reg_lambda': 1}",0.781 ± 0.013870832707519775,0.7226228656500098 ± 0.01704768454953721
"--algo xgb --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'gamma': 0.0, 'max_depth': 6.0, 'min_child_weight': 1.0, 'reg_alpha': 0, 'reg_lambda': 1}",0.8300000000000001 ± 0.008099382692526642,0.7496141435027405 ± 0.025877651743531856
"--algo xgb --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'gamma': 0.693898539163496, 'max_depth': 9.0, 'min_child_weight': 5.0, 'reg_alpha': 1, 'reg_lambda': 1}",0.8288 ± 0.0075736384915046015,0.7251858823613219 ± 0.033637413100046545
"--algo cat --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'bagging_temperature': 0.005352560536573847, 'border_count': 10, 'depth': 7.0, 'iterations': 150, 'learning_rate': 0.4, 'reg_lambda': 0.1}",0.741 ± 0.01746997424153798,0.5762152598284828 ± 0.018022987800949984
"--algo cat --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'bagging_temperature': 0.021053615719997865, 'border_count': 20, 'depth': 6.0, 'iterations': 150, 'learning_rate': 0.4, 'reg_lambda': 0.1}",0.8150000000000001 ± 0.013326664999166108,0.7117436156793444 ± 0.023471582975212874
"--algo cat --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657330507.8424885.csv","{'bagging_temperature': 0.23407941517786504, 'border_count': 32, 'depth': 7.0, 'iterations': 150, 'learning_rate': 0.4, 'reg_lambda': 0.1}",0.8240000000000001 ± 0.007874007874011818,0.72926467959215 ± 0.021243690401832653
"--algo rf --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347129.0033064.csv","{'max_features': 'log2', 'min_samples_split': 10.0, 'n_estimators': 64.0}",0.8278000000000001 ± 0.004308131845707607,0.7221920770531783 ± 0.03178520231781174
"--algo rf --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347129.0033064.csv","{'max_features': 'log2', 'min_samples_split': 10.0, 'n_estimators': 84.0}",0.8122 ± 0.00904212364436581,0.6868501244159697 ± 0.041494114654234436
"--algo rf --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347129.0033064.csv","{'max_features': 'log2', 'min_samples_split': 8.0, 'n_estimators': 69.0}",0.7778000000000002 ± 0.014455448799674133,0.6078437387363202 ± 0.0458113687410648
"--algo lgbm --dataset brand-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347273.3724737.csv","{'boosting_type': 'gbdt', 'colsample_bytree': 0.9122692458102968, 'learning_rate': 0.059117156486771474, 'min_child_samples': 17.0, 'min_child_weight': 0.01, 'n_estimators': 200, 'num_leaves': 38.0, 'reg_alpha': 2, 'reg_lambda': 0.1, 'subsample': 0.8758837915892124}",0.7882000000000001 ± 0.018755265927200303,0.7024166322230723 ± 0.03135042012067243
"--algo lgbm --dataset brand-mcat-desc-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347273.3724737.csv","{'boosting_type': 'gbdt', 'colsample_bytree': 0.6591112898314511, 'learning_rate': 0.06823101521141467, 'min_child_samples': 26.0, 'min_child_weight': 1, 'n_estimators': 200, 'num_leaves': 39.0, 'reg_alpha': 0, 'reg_lambda': 10, 'subsample': 0.5042615219885892}",0.8363999999999999 ± 0.008935323161475479,0.7309069018684458 ± 0.01621060138360945
"--algo lgbm --dataset brand-mcat-desc-sep-stem-tfidf-seed1.pickle --use_mcode --use_amounts --bayesian_op --eval_trials 5 --save_file 1657347273.3724737.csv","{'boosting_type': 'dart', 'colsample_bytree': 0.6770733129043774, 'learning_rate': 0.08605104834598937, 'min_child_samples': 24.0, 'min_child_weight': 0.001, 'n_estimators': 150, 'num_leaves': 45.0, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8570688327918766}",0.8346 ± 0.008039900496896719,0.7498753631689234 ± 0.031411400986908415
