x0,x1,y
4.2901745,-9.737201,3
-38.37672,21.444393,3
-11.424738,-8.08191,3
-1.8780614,4.639984,3
-56.23342,-20.83226,3
0.5601323,-28.293543,3
4.5637345,-10.015768,3
-58.2492,15.450435,3
-42.788803,-21.305353,3
3.845837,3.4810581,3
0.6791434,3.7874098,3
22.384779,5.5935802,3
2.7952988,-12.433269,3
2.1843092,-28.479334,3
-5.857805,-59.610493,3
-68.14039,22.46949,7
11.823484,-42.681572,7
-66.43919,21.956625,7
-15.168824,-13.256474,7
-44.542427,34.44887,7
-32.123264,-42.8283,7
78.72214,-5.792573,3
-23.20973,17.866806,7
-30.844597,3.2048435,7
-68.14882,14.69294,7
-4.9160886,-0.23013699,7
-76.44468,21.46129,7
4.1581125,-42.064545,7
7.5627427,-8.26409,0
2.5048447,-12.505067,3
-10.728469,-38.82322,7
-68.87493,-3.3721247,0
-45.11474,-27.971476,7
-0.9833009,-44.644684,7
7.642269,-9.995777,0
-15.131566,-13.229041,7
-21.989298,-41.01474,7
-25.549095,-40.402294,7
40.504715,43.92953,7
-1.6993083,-46.41264,7
-37.20795,-66.44064,7
4.17865,-9.968205,3
-73.562454,10.001228,5
20.518423,-49.87177,3
-56.840775,-21.791676,7
22.075094,-3.8659854,7
-8.134363,1.275925,7
48.625244,-6.938635,7
-22.514032,-76.008,5
17.09128,30.002905,7
-4.716766,-40.1515,7
-60.06794,-4.7385597,7
29.068842,-53.180035,0
32.563274,-0.49307156,9
0.054062825,26.46444,9
-60.701313,16.982656,9
12.511574,-84.1668,7
22.080002,-3.8592055,9
17.804077,-4.11345,5
-19.6221,15.881679,7
32.760017,-37.23249,9
23.236807,9.546724,9
0.111924924,-23.760971,7
-7.6482677,1.4255959,7
63.067783,-34.447212,9
-1.7046075,37.95081,9
-14.500166,-39.9576,7
57.390263,-28.059242,7
13.91347,45.145832,2
20.03521,12.438348,2
-1.678737,37.918484,9
-35.214676,4.51,2
-1.9824764,45.373344,2
-19.709652,-24.593594,2
-16.834206,-81.20087,5
-25.584532,55.3444,2
36.012524,40.974247,2
31.636099,35.529522,2
-43.615147,23.704811,3
41.557465,57.795315,2
13.840212,79.135735,2
-67.23344,21.799965,7
-9.09426,42.967567,2
-7.2337503,72.102516,2
-7.839282,-65.36909,9
21.310017,1.1219481,9
17.976662,61.580612,2
10.461387,48.05962,2
-7.4895844,42.371178,2
34.949543,65.13854,2
-18.994806,27.271547,2
-15.551439,-38.876072,7
24.168715,54.96522,2
-4.4860153,13.265164,5
39.789326,73.965454,2
15.036759,36.61754,2
-34.37228,2.0347953,2
2.570293,68.588844,2
4.4506044,-61.533768,1
-48.6461,4.710493,7
-6.063039,36.898327,2
53.589935,47.75878,2
30.721245,-34.862396,2
-13.198658,52.683426,2
-23.646358,39.19369,2
-17.067602,51.206944,2
-13.220452,52.793636,2
-8.198327,42.586075,2
-8.550707,81.35371,2
-21.40685,15.247789,5
-36.1066,43.795856,2
64.029755,-8.735167,2
-22.49686,52.46192,2
17.851381,28.800095,2
-19.494093,19.519678,2
-35.78595,-22.610783,4
15.909606,37.86319,2
26.916557,54.486084,2
55.63655,-42.24293,4
49.28088,-58.91038,1
33.929836,29.634869,2
43.544563,36.43053,2
-34.392357,55.820667,2
-42.8596,-2.3718917,3
27.68352,41.058533,2
-4.379417,53.158752,2
5.093063,9.470591,4
41.99836,-10.953046,4
-1.3081971,-36.633595,7
-2.0514202,64.09606,2
-43.28407,-11.32741,7
-19.416565,78.95761,2
36.28056,32.964283,2
-25.079647,10.975375,2
-14.042303,19.024584,2
-48.153835,25.784174,5
36.159184,32.74766,2
45.553406,-13.813371,4
-0.99914724,44.825527,2
-38.01048,21.245098,4
-15.105085,-18.10002,7
-73.22598,29.22287,2
42.10979,44.441822,2
11.668005,46.407604,2
21.942345,8.995395,9
-8.566665,42.364292,2
-37.210518,34.332397,7
6.190542,10.006579,4
-4.8895593,-40.342533,9
16.986727,16.821766,2
-31.90212,44.20553,2
8.30088,4.2723236,9
16.094872,32.4062,2
25.315226,72.06149,2
40.011745,-37.197914,2
-40.433525,-3.2423122,4
9.368756,-44.25302,7
51.311703,-51.850025,8
-20.93801,-8.657945,8
5.590183,25.486982,9
-32.88981,28.457388,2
38.769154,-68.58144,8
11.266132,23.695728,2
-26.628557,-26.198322,4
37.016277,8.630993,4
10.704281,47.932716,2
-31.069803,0.3141706,9
-1.7513219,6.8369083,8
32.108124,41.1902,2
-43.624924,11.525619,7
-22.473755,-40.68065,7
-66.31889,22.106216,7
13.407495,39.915543,2
-66.02939,5.462578,2
15.492852,66.46537,2
3.5870593,2.88638,8
7.6034465,-28.302681,4
-41.24621,71.70265,2
46.64045,-20.860472,8
15.44929,-3.1882322,8
11.476632,57.174416,2
3.25212,68.56129,2
45.192036,-46.257202,4
47.66181,16.446436,4
12.754004,-9.276114,5
-20.874664,-42.07069,7
6.0762916,-18.01965,4
41.48258,19.074673,8
28.388393,43.22649,2
1.6055272,2.133506,7
-40.494244,-9.418738,0
60.110878,53.93096,2
17.578928,63.22516,2
-20.113455,-59.575043,5
33.982155,-52.754086,9
9.558618,-3.0588024,4
42.889946,-64.96884,5
-25.445402,-0.8206762,9
-33.923645,6.1094475,7
-57.527412,6.3774037,7
8.035081,71.5111,2
-13.720767,6.382505,2
13.6714115,79.38389,2
-13.365332,38.795315,2
5.3600535,42.498756,2
3.6872182,60.02276,8
-28.814953,47.99076,2
-55.577423,22.113327,8
-10.658655,27.362778,2
55.317867,-5.7235746,4
3.6258547,-84.4652,8
-21.623245,-12.180523,8
35.93137,38.514557,2
31.22022,-54.11975,8
3.5717795,44.574524,2
11.568319,23.05712,2
54.042873,46.367092,2
-6.6841617,-19.31178,2
-33.940952,59.77025,2
-40.982803,-8.0094595,8
-19.969355,-24.06895,2
-22.41093,-22.465044,2
-37.28291,-18.262764,4
-0.844841,-52.62072,4
52.503963,6.399449,7
20.557133,3.8115935,2
60.824284,-51.920704,4
42.021996,-58.949932,4
-7.0033784,58.09893,2
-40.8633,52.117905,2
11.757627,46.298664,2
9.164119,1.0696218,4
11.675037,-0.47672388,5
-45.930103,-10.924588,8
-28.935211,-22.04456,8
-32.389248,-27.519402,4
23.770039,-77.93558,4
27.245186,25.243801,2
19.128038,9.660994,8
47.446392,16.489336,4
6.111933,52.761547,2
49.324627,-9.225536,6
-54.46978,22.749506,8
14.72465,18.97491,8
12.688481,-48.419743,6
-25.77011,-51.439003,4
8.587571,63.01764,2
-71.38538,5.60478,4
70.319984,-4.0300293,6
-19.607458,59.340275,2
-11.533751,-5.632226,6
0.79064614,19.275923,4
-5.214374,-41.377388,7
11.943473,57.67097,2
-56.366703,7.603655,7
7.7121043,-61.929832,1
-58.100628,13.840824,6
-50.671867,64.07097,2
-26.67468,16.824102,2
-41.291435,16.50236,2
-8.588908,81.302315,2
-59.08842,55.22846,5
-6.6210084,-59.214985,6
50.582344,3.9685297,6
-73.05994,-18.61038,8
23.057085,-12.327611,6
9.272268,32.240852,2
-5.76426,7.1975327,8
-38.981033,34.944473,8
36.39681,-5.94,6
3.746278,-5.0096135,8
3.0802636,-42.296597,7
-39.60852,-49.52836,6
34.524445,66.429,6
-26.107231,-51.399902,7
49.622303,-51.115887,4
38.74903,-74.76957,6
67.29752,19.337492,8
-35.40276,-38.31834,6
-69.855896,-22.468039,8
19.905428,26.350159,6
-40.815887,30.153635,2
-7.405557,10.503911,8
-65.929695,-36.219765,6
-65.46054,30.101305,8
49.280155,-58.910313,1
-23.903399,-32.168823,4
-45.727436,-42.252274,2
4.0016785,58.583015,2
-51.57033,-41.56473,6
-18.394642,47.764977,2
45.193996,66.67965,6
18.775103,-50.928707,6
-39.11566,-6.296966,6
56.505848,-60.669373,6
39.342613,25.026148,4
25.141886,-39.508568,6
30.645632,-60.377563,6
17.912638,3.568954,2
47.895924,-26.538868,6
-8.356202,-79.687744,5
12.031348,-11.66902,6
63.35607,-41.783382,6
