x1,x2,y
40.99354,-1.7144456,3
39.63826,-3.2208455,3
-20.004972,18.9443,3
18.333206,25.909128,3
-24.934534,36.757034,3
12.992105,12.8152,3
40.58882,5.7270956,3
48.82789,-3.2417471,3
-5.932249,41.28332,3
47.51251,3.7082,3
26.717297,-4.183663,3
-29.96985,5.0821133,3
1.4938306,30.121658,3
8.696957,29.644327,3
33.951622,41.692486,3
2.5900924,7.05526,7
7.8499317,4.97629,7
5.123935,7.426446,7
4.558177,52.920853,7
49.228912,10.927129,7
22.863733,-39.286278,7
54.052387,28.65419,3
-52.79844,18.881948,7
6.2902894,-8.910232,7
4.0291705,9.744599,7
-8.323529,34.495747,7
4.094173,-2.937889,7
10.889688,48.48791,7
57.761536,-8.639594,0
-1.0953727,29.386272,3
1.6376364,-1.682892,7
-4.6245985,48.41272,0
13.436489,54.54951,7
9.389813,46.151703,7
23.025145,-4.229184,0
4.3917704,54.07952,7
-10.3902445,24.496836,7
7.7933493,50.502495,7
61.846992,22.056309,7
9.033597,44.538536,7
-68.75819,37.473755,7
36.453335,-2.8337147,3
23.967949,13.213959,5
9.284587,34.21674,3
-35.56398,29.995678,7
-13.769205,8.069436,7
63.07849,18.635899,7
58.006542,14.974014,7
-74.006805,12.872012,5
2.604045,2.2234173,7
48.79586,6.496462,7
6.1480684,57.392506,7
-56.184727,23.432327,0
46.64042,-11.4004345,9
-30.987127,-10.251932,9
48.556335,-3.5364664,9
9.352004,8.944362,7
-13.091949,11.093873,9
-12.332808,-17.067055,5
-56.31339,17.182177,7
-15.126049,8.918463,9
-27.242594,-11.330004,9
7.30164,46.260284,7
62.095974,20.404135,7
45.086853,-42.7878,9
-35.266052,-12.716881,9
-0.07219978,-0.038223792,7
53.04877,-33.445477,7
-34.898964,-45.869133,2
-27.23967,-36.994213,2
-35.26737,-12.703261,9
18.631596,-15.814704,2
5.266183,-45.15979,2
-44.368618,33.32754,2
-50.114536,45.028122,5
-11.101668,-37.41708,2
-25.97577,-47.9713,2
-17.213676,-40.94469,2
56.371094,-7.4954286,3
-15.588518,-45.182125,2
-58.909443,-51.730705,2
5.523825,7.527397,7
-63.162468,-39.142178,2
-1.407546,-44.982697,2
26.997175,49.173668,9
-12.423383,28.367798,9
-49.088066,-57.648357,2
-46.017563,-45.57875,2
-65.54153,-19.608633,2
-7.4902415,-55.40585,2
-51.916367,25.236837,2
5.8426085,1.9781656,7
27.932104,-30.813318,2
-13.149531,-28.31163,5
-8.150637,-52.658283,2
2.3045158,-57.502266,2
15.469275,0.97987944,2
-52.51197,-62.01975,2
-4.5634236,-14.199307,1
23.83663,-17.830729,7
-22.619055,-26.870926,2
-11.666396,-62.704548,2
-34.091938,11.9283285,2
-48.69156,7.9015217,2
50.906204,-2.971043,2
-55.29256,-27.361261,2
-51.46628,-20.891405,2
-65.54615,-19.608532,2
-11.396448,-60.437572,2
-64.22128,20.158478,5
-58.00741,-17.917612,2
32.561687,30.051485,2
-14.639919,-36.91411,2
12.498306,-32.347992,2
-49.094765,-27.829872,2
-39.509705,51.302624,4
4.2074075,-41.179886,2
29.761408,-30.634392,2
28.075623,17.294212,4
-7.399249,7.4869037,1
-33.32534,-39.32732,2
-36.680084,-32.34979,2
-67.552086,-10.121064,2
-31.349133,46.807068,3
-24.354939,-10.587469,2
-1.4287593,-45.85017,2
36.07127,7.155774,4
1.7181627,-32.49726,4
49.948353,11.373375,7
-45.024483,-52.300297,2
-28.715618,37.195446,7
-51.44095,-12.10985,2
-37.80448,-32.60209,2
16.239729,0.3426166,2
-45.652588,-5.8302555,2
61.01553,-8.580792,5
-39.511612,-34.238045,2
7.237854,-31.619057,4
5.8260436,-52.849876,2
18.018154,-5.175221,4
3.7815402,51.6771,7
-9.445401,76.289986,2
-27.386347,-54.749573,2
0.13548551,-71.33198,2
-33.08453,-3.4612775,9
-25.537237,-6.57886,2
28.50377,-0.61798793,7
41.193153,-5.7476583,4
49.00387,7.691335,9
-12.839675,28.266573,2
-27.212042,-32.86996,2
50.516193,0.96049964,9
11.57345,-49.09966,2
10.304095,-71.37987,2
-6.0165143,-9.299895,2
-34.796097,47.028214,4
10.611841,0.48072875,7
35.64917,8.589916,8
-25.642588,60.688534,8
-32.932507,-5.8350587,9
17.835167,-6.2339716,2
-52.811882,1.3086193,8
-6.29328,-42.285744,2
-22.68283,39.93359,4
-10.779753,19.04345,4
-46.60034,-45.385258,2
-35.601612,25.540178,9
8.493475,13.798472,8
-26.791157,-52.185028,2
48.948055,2.4218864,7
-11.575165,23.012827,7
1.7493439,5.904336,7
9.588269,-42.530632,2
-19.45759,21.379309,2
-10.935754,-76.44985,2
61.51179,-8.34632,8
-3.7477086,20.738073,4
-66.55756,-30.219229,2
-19.128345,-20.31191,8
-6.233278,-7.6249967,8
-29.004812,-62.61375,2
-10.893419,-76.27167,2
30.905153,15.167036,4
-10.539907,15.624272,4
7.295792,36.422863,5
8.670696,-5.943475,7
23.507122,33.904587,4
-7.8085775,17.592365,8
-10.462098,-43.151447,2
23.543207,4.8474326,7
-38.78386,44.180595,0
-14.741359,-44.439926,2
-49.66423,-58.310215,2
